#======= TRAJECTORY BEGIN: DionisioPAE
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     8.352       1.554      -2.426       0.000       0.000       0.000       0.200
#--------Waypoint:     7.087       2.217       2.007       0.520      -1.329      -1.850       0.200
#--------Waypoint:     5.015       3.935      -2.740       0.956      -3.985      -0.314       0.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          3.04800  m/s
#--------Maximum Acceleration:      1.52400  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          3.04800  m/s
#--------Track width:               0.64008  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   No
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.52400,    0.00000,    0.00000,   -0.00000,   -0.85096,Segment:  1
   0.26172,    0.39886,    1.52400,    0.05218,   -0.00122,   -0.04807,   -0.99542,Segment:  2
   0.36558,    0.55714,    1.52400,    0.10169,   -0.00490,   -0.10147,   -1.16055,Segment:  3
   0.44236,    0.67416,    1.52400,    0.14856,   -0.01104,   -0.16061,   -1.34556,Segment:  4
   0.50485,    0.76939,    1.52400,    0.19283,   -0.01966,   -0.22576,   -1.54703,Segment:  5
   0.55813,    0.85059,    1.52400,    0.23453,   -0.03079,   -0.29705,   -1.75796,Segment:  6
   0.60493,    0.92192,    1.52400,    0.27370,   -0.04442,   -0.37432,   -1.96691,Segment:  7
   0.64695,    0.98595,    1.52400,    0.31038,   -0.06058,   -0.45708,   -2.15820,Segment:  8
   0.66655,    1.01582,    1.52400,    0.32779,   -0.06962,   -0.50026,   -2.24151,Segment:  9
   0.68537,    1.04450,    1.52400,    0.34460,   -0.07929,   -0.54443,   -2.31345,Segment:  10
   0.70351,    1.07215,    1.52400,    0.36079,   -0.08960,   -0.58944,   -2.37185,Segment:  11
   0.72106,    1.09890,    1.52400,    0.37639,   -0.10055,   -0.63508,   -2.41482,Segment:  12
   0.73811,    1.12489,    1.52400,    0.39139,   -0.11214,   -0.68113,   -2.44093,Segment:  13
   0.75473,    1.15021,    1.52400,    0.40579,   -0.12438,   -0.72738,   -2.44927,Segment:  14
   0.77098,    1.17498,    1.52400,    0.41961,   -0.13727,   -0.77360,   -2.43957,Segment:  15
