#======= TRAJECTORY BEGIN: DionisioPAE
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     8.352       1.554      -2.426       0.000       0.000       0.000       0.200
#--------Waypoint:     7.087       2.826       2.007       0.120      -1.789      -1.850       0.200
#--------Waypoint:     5.015       3.935      -3.072       0.956      -3.985      -0.646       0.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          3.04800  m/s
#--------Maximum Acceleration:      1.52400  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          3.04800  m/s
#--------Track width:               0.64008  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   No
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.52400,    0.00000,    0.00000,    0.00000,   -1.21055,Segment:  1
   0.20738,    0.31604,    1.52400,    0.03276,   -0.00068,   -0.04251,   -1.38925,Segment:  2
   0.28957,    0.44131,    1.52400,    0.06382,   -0.00271,   -0.08882,   -1.59173,Segment:  3
   0.35025,    0.53378,    1.52400,    0.09321,   -0.00606,   -0.13917,   -1.81830,Segment:  4
   0.39951,    0.60885,    1.52400,    0.12097,   -0.01070,   -0.19379,   -2.06757,Segment:  5
   0.44137,    0.67265,    1.52400,    0.14713,   -0.01663,   -0.25278,   -2.33569,Segment:  6
   0.47795,    0.72839,    1.52400,    0.17173,   -0.02380,   -0.31618,   -2.61565,Segment:  7
   0.51054,    0.77807,    1.52400,    0.19480,   -0.03221,   -0.38385,   -2.89672,Segment:  8
   0.54005,    0.82303,    1.52400,    0.21637,   -0.04182,   -0.45547,   -3.16454,Segment:  9
   0.56711,    0.86427,    1.52400,    0.23649,   -0.05262,   -0.53051,   -3.40202,Segment:  10
   0.59222,    0.90255,    1.52400,    0.25518,   -0.06457,   -0.60821,   -3.59130,Segment:  11
   0.61580,    0.93848,    1.52400,    0.27248,   -0.07766,   -0.68764,   -3.71655,Segment:  12
   0.63815,    0.97254,    1.52400,    0.28844,   -0.09187,   -0.76772,   -3.76691,Segment:  13
   0.65956,    1.00517,    1.52400,    0.30307,   -0.10717,   -0.84732,   -3.73874,Segment:  14
   0.68024,    1.03669,    1.52400,    0.31642,   -0.12353,   -0.92533,   -3.63626,Segment:  15
